time [h]	Qdot1 [W]
1152	11576.2
1153	11639.1
1154	11683.6
1155	11690.1
1156	11621.4
1157	11607.2
1158	11582.2
1159	11520.9
1160	11226.1
1161	10019.6
1162	9076.6
1163	9259.6
1164	9456.6
1165	9667.3
1166	9864.8
1167	9878.8
1168	9814.6
1169	9789.9
1170	10623.7
1171	11052.2
1172	11147.6
1173	11213.9
1174	11715.6
1175	12081.7
1176	12250.3
1177	12586.2
1178	12824.4
1179	12659.8
1180	19711.2
1181	116373.0
1182	82462.6
1183	65269.1
1184	54969.3
1185	41432.9
1186	33248.6
1187	29967.9
1188	35819.4
1189	34087.4
1190	26585.9
1191	25423.5
1192	26434.3
1193	36979.5
1194	38719.4
1195	31712.8
1196	28007.0
1197	25069.6
1198	22791.3
1199	21103.8
1200	19648.1
1201	18277.7
1202	17101.8
1203	16170.9
1204	17615.0
1205	61643.0
1206	46901.1
1207	41061.9
1208	35922.2
1209	23204.1
1210	18290.3
1211	16799.5
1212	20580.3
1213	19361.9
1214	14998.8
1215	13020.2
1216	13721.3
1217	18805.0
1218	24089.0
1219	22079.1
1220	21134.0
1221	20139.3
1222	18604.1
1223	17160.1
1224	15902.5
1225	14876.6
1226	14080.4
1227	13360.3
1228	13864.9
1229	41617.5
1230	32817.9
1231	29746.1
1232	27728.5
1233	21095.0
1234	18295.8
1235	17562.0
1236	23886.9
1237	21729.2
1238	16946.4
1239	15160.0
1240	14900.2
1241	19899.1
1242	22800.1
1243	19723.8
1244	18345.5
1245	17055.6
1246	16190.8
1247	15251.7
1248	14421.2
1249	13789.7
1250	13255.5
1251	12777.8
1252	13822.7
1253	45997.1
1254	35417.0
1255	31329.6
1256	28103.3
1257	19384.8
1258	17653.9
1259	17884.0
1260	29236.3
1261	32001.9
1262	25848.7
1263	23464.4
1264	23071.7
1265	32742.5
1266	34326.2
1267	27084.7
1268	23846.7
1269	21589.2
1270	19934.8
1271	18662.7
1272	17487.3
1273	16540.2
1274	15808.9
1275	15409.2
1276	17482.6
1277	58768.9
1278	45044.9
1279	41059.9
1280	42332.0
1281	31751.9
1282	24877.6
1283	23702.7
1284	34043.6
1285	32086.1
1286	23618.3
1287	20906.4
1288	23593.3
1289	38984.6
1290	42535.7
1291	32619.2
1292	28712.2
1293	25900.6
1294	23751.4
1295	21841.8
1296	20135.8
1297	18586.2
1298	17255.0
1299	16139.1
1300	15429.8
1301	14847.3
1302	14429.9
1303	14185.9
1304	10730.1
1305	7687.1
1306	7267.5
1307	7397.0
1308	7366.2
1309	7888.5
1310	8603.1
1311	9117.1
1312	9899.0
1313	10683.7
1314	10969.2
1315	10825.0
1316	10688.8
1317	10385.6
1318	10250.1
1319	10145.1
1320	10126.6
1321	10251.7
1322	10533.4
1323	10831.5
1324	11117.5
1325	11395.0
1326	11600.0
1327	11891.7
1328	11936.5
1329	11344.2
1330	10366.8
1331	9829.8
1332	9793.3
1333	9272.9
1334	9862.0
1335	10361.3
1336	10886.3
1337	11505.0
1338	11882.4
1339	11973.3
1340	12210.0
1341	12188.3
1342	12197.4
1343	12291.2
1344	12154.9
1345	12136.8
1346	12127.5
1347	12158.8
1348	19438.5
1349	123247.0
1350	87756.9
1351	69819.4
1352	59044.7
1353	45720.9
1354	37521.2
1355	33946.4
1356	38790.8
1357	33539.1
1358	24125.6
1359	19607.7
1360	19219.6
1361	25678.9
1362	32491.9
1363	28428.2
1364	25927.8
1365	23771.3
1366	21777.7
1367	20209.3
1368	18978.0
1369	18206.8
1370	17366.0
1371	16454.4
1372	18966.9
1373	69150.3
1374	52990.4
1375	47517.3
1376	41882.9
1377	28185.5
1378	19576.4
1379	15247.9
1380	16069.3
1381	12913.8
1382	8379.8
1383	7836.4
1384	8977.2
1385	13404.7
1386	17652.1
1387	18027.4
1388	17968.9
1389	17132.9
1390	15970.8
1391	14994.6
1392	14225.5
1393	13343.2
1394	12677.1
1395	12259.0
1396	12457.1
1397	32793.4
1398	26508.6
1399	24539.2
1400	18342.1
1401	10969.5
1402	7508.0
1403	5776.5
1404	6210.9
1405	5313.1
1406	3654.5
1407	3325.0
1408	3785.2
1409	6612.9
1410	8140.5
1411	9706.3
1412	10417.0
1413	10222.4
1414	9805.6
1415	9396.0
1416	9691.0
1417	10235.8
1418	10086.0
1419	9859.5
1420	9926.6
1421	19943.8
1422	17478.5
1423	17704.0
1424	17352.9
1425	11775.2
1426	8233.8
1427	7247.2
1428	8476.8
1429	6552.3
1430	3342.3
1431	4359.9
1432	5476.9
1433	9415.3
1434	11530.0
1435	11531.3
1436	12144.6
1437	11797.2
1438	11202.9
1439	10471.3
1440	9773.8
1441	9208.0
1442	8761.2
1443	8497.0
1444	8166.1
1445	17285.6
1446	14663.6
1447	14555.4
1448	8421.3
1449	6614.6
1450	5825.4
1451	5632.0
1452	12255.1
1453	14265.5
1454	8107.9
1455	6636.3
1456	7446.0
1457	12315.7
1458	15778.3
1459	14627.8
1460	14359.1
1461	13852.9
1462	13041.0
1463	12303.8
1464	11837.9
1465	11582.4
1466	11187.7
1467	10866.9
1468	10577.2
1469	10261.6
1470	10004.3
1471	9548.5
1472	6364.5
1473	5678.6
1474	4767.9
1475	4722.1
1476	5068.5
1477	6659.4
1478	7461.0
1479	6822.5
1480	7038.8
1481	6365.0
1482	8815.8
1483	10219.3
1484	10594.5
1485	10829.1
1486	10881.9
1487	10699.9
1488	10494.5
1489	10123.4
1490	9788.5
1491	9594.5
1492	9963.5
1493	10264.0
1494	10108.6
1495	9749.0
1496	8843.0
1497	7971.9
1498	6973.8
1499	6026.7
1500	5707.3
1501	5260.3
1502	3724.7
1503	4573.4
1504	5488.2
1505	6525.7
1506	8357.2
1507	9352.3
1508	9793.8
1509	10026.1
1510	10082.1
1511	10294.3
1512	10420.8
1513	10555.9
1514	10534.2
1515	10578.4
1516	15457.7
1517	91187.0
1518	65225.5
1519	51759.2
1520	41562.8
1521	32724.9
1522	24808.1
1523	21513.2
1524	28817.5
1525	29723.3
1526	25817.7
1527	22866.6
1528	20747.8
1529	31909.9
1530	36055.2
1531	29498.0
1532	26727.3
1533	24349.1
1534	22249.4
1535	20710.0
1536	19307.0
1537	18193.5
1538	17367.4
1539	16619.3
1540	18908.2
1541	65455.0
1542	49882.9
1543	44142.8
1544	44041.7
1545	31640.2
1546	25991.4
1547	25407.5
1548	31263.4
1549	27730.5
1550	23231.5
1551	20780.7
1552	21959.7
1553	28461.6
1554	34289.9
