time [h]	EFH1 [W]
1854	5936.18
1855	3580.96
1856	1867.98
1857	1036.05
1858	941.23
1859	897.77
1860	828.22
1861	677.49
1862	563.25
1863	520.34
1864	638.40
1865	891.35
1866	1195.45
1867	1581.26
1868	2368.32
1869	1847.21
1870	2127.65
1871	158.76
1872	203.52
1873	229.85
1874	260.21
1875	291.75
1876	324.69
1877	6849.25
1878	6552.43
1879	4842.66
1880	3241.27
1881	2186.95
1882	1661.07
1883	1315.42
1884	878.12
1885	559.82
1886	482.16
1887	497.53
1888	654.98
1889	1000.24
1890	1216.40
1891	1570.66
1892	2412.64
1893	1910.82
1894	2376.69
1895	189.36
1896	227.98
1897	266.64
1898	293.25
1899	317.71
1900	336.78
1901	6976.03
1902	6625.76
1903	4539.78
1904	2534.51
1905	1568.14
1906	1090.94
1907	784.09
1908	529.09
1909	427.77
1910	438.74
1911	728.91
1912	1010.26
1913	1117.45
1914	1119.75
1915	1310.68
1916	2040.10
1917	1441.09
1918	1646.18
1919	131.36
1920	150.98
1921	158.54
1922	165.20
1923	165.82
1924	171.73
1925	4663.06
1926	3685.91
1927	2681.90
1928	2294.18
1929	2027.84
