time [h]	MFH4.0 [W]
1337	28263.06
1338	29397.94
1339	31671.70
1340	39714.46
1341	39560.80
1342	40536.77
1343	3359.84
1344	2861.36
1345	2422.72
1346	2265.64
1347	2243.56
1348	2288.02
1349	41993.33
1350	38033.48
1351	30964.15
1352	28745.32
1353	23188.59
1354	18122.93
1355	16321.22
1356	14633.91
1357	15801.04
1358	17876.30
1359	17288.12
1360	19944.80
1361	22819.17
1362	21902.59
1363	18847.34
1364	24302.56
1365	19869.63
1366	21487.71
1367	1933.97
1368	2050.68
1369	2324.99
1370	2355.46
1371	2279.79
1372	2299.66
1373	41331.47
1374	37655.36
1375	29752.75
1376	22813.19
1377	17070.00
1378	16169.52
1379	15034.43
1380	13838.70
1381	13209.86
1382	14515.18
1383	16348.30
1384	16332.88
1385	19279.19
1386	20099.72
1387	19509.04
1388	25656.30
1389	21494.50
1390	24252.38
1391	2377.25
1392	2529.66
1393	2614.47
1394	2669.98
1395	2645.21
1396	2604.86
1397	43137.44
1398	38982.09
1399	31256.10
1400	29528.92
1401	26796.35
1402	24500.48
1403	21821.37
1404	19723.63
1405	19139.04
1406	18164.09
1407	18399.80
1408	18973.40
1409	18994.13
1410	17163.86
1411	14542.68
1412	19588.07
1413	15255.81
1414	17103.46
1415	1488.97
1416	1664.34
1417	1719.81
1418	1751.57
1419	1807.40
1420	1875.16
1421	36035.64
1422	29602.23
1423	22905.43
1424	21514.71
1425	19492.48
1426	18012.28
1427	16899.48
1428	15635.29
1429	15052.95
1430	16147.36
1431	15267.83
1432	15458.96
1433	16707.29
1434	14584.40
1435	12583.42
1436	18846.37
1437	13764.23
1438	15250.76
1439	1456.42
1440	1641.38
1441	1773.22
1442	1849.31
1443	1997.65
1444	2140.50
1445	39101.22
1446	32289.12
1447	23573.17
1448	19986.24
1449	17652.93
1450	16365.23
1451	14982.16
1452	13655.03
1453	11988.50
1454	9824.79
1455	10207.24
1456	15869.52
1457	20181.32
1458	20321.00
1459	19960.69
1460	25372.18
1461	20918.73
1462	22852.13
1463	2227.90
1464	2350.28
1465	2397.33
1466	2426.29
1467	2513.86
1468	2444.87
1469	41655.62
1470	37520.00
1471	29519.84
1472	24418.66
1473	18408.12
1474	15117.59
1475	17274.99
1476	14814.59
1477	9380.97
1478	8150.72
1479	8721.68
1480	14313.11
1481	18216.36
1482	18543.80
1483	17289.46
1484	23852.52
1485	20533.59
1486	23100.93
1487	2328.61
1488	2510.87
1489	2672.00
1490	2790.19
1491	2899.06
1492	3084.55
1493	45373.74
1494	44124.50
1495	37513.96
1496	31843.04
1497	26072.03
1498	19098.70
1499	15906.42
1500	15735.34
1501	16366.53
1502	16312.41
1503	12211.39
1504	13580.52
1505	19122.55
1506	20254.74
1507	20725.30
1508	27553.88
1509	25062.71
1510	27955.01
1511	2694.66
1512	2795.93
1513	2916.70
1514	3065.22
1515	3170.50
1516	3293.33
1517	46155.74
1518	45507.78
1519	38076.90
1520	35153.83
1521	31408.02
1522	29071.02
1523	26907.11
1524	24748.92
1525	22491.61
1526	21057.12
1527	23349.01
1528	27320.18
1529	31701.65
1530	32322.06
1531	31498.59
1532	35337.70
1533	30851.96
1534	31201.43
1535	2812.42
1536	2949.10
1537	2890.40
1538	2876.11
1539	2868.07
1540	2893.48
1541	44991.96
1542	42665.72
1543	35526.19
1544	33758.25
1545	28046.94
1546	23908.59
1547	20155.32
1548	17018.13
1549	15123.82
1550	13018.67
1551	14331.48
1552	18519.91
1553	21414.46
1554	20204.83
1555	18372.63
1556	26253.34
1557	22652.83
1558	25467.63
1559	2520.53
1560	2726.55
1561	2837.67
1562	2880.88
1563	2822.43
1564	2856.77
1565	44860.61
1566	43592.72
1567	33869.91
1568	29286.07
1569	22202.61
1570	16709.92
1571	16447.04
1572	15474.95
1573	12675.48
1574	9956.13
1575	8976.61
1576	11614.00
1577	19099.24
1578	20299.51
1579	19155.92
1580	25345.50
1581	21671.60
1582	24023.42
1583	2343.36
1584	2476.99
1585	2573.80
1586	2672.04
1587	2795.35
1588	2917.37
1589	45200.45
1590	43153.73
1591	30547.88
1592	23313.17
1593	19175.11
1594	18201.39
1595	17553.44
1596	16346.35
1597	14252.63
1598	10452.44
1599	9977.78
1600	14093.49
1601	20703.71
1602	21464.99
1603	19956.03
1604	24872.29
1605	21715.83
1606	24071.41
1607	2390.90
1608	2496.54
1609	2754.45
1610	2918.91
1611	3013.69
1612	3131.63
1613	45201.71
